Dialogue_History,Strategy_History,Speaker_Turn,Gold_Standard,Next_Strategy
"I'm not sure, I'm thinking about it. </s> What are you not sure about? </s> Well, I'm not sure if I want to live with my auntie and uncle. [chuckles] Um, I think, yeah, I'll probably need to. I think probably living with, uh, with my mate in his flat is probably not that helpful. </s> Okay. Just sort of interested, when you rang your mom and, um, told her what's happening, how difficult was it to talk about the issue of violence and being violent towards your partner? </s> It was terrible. It was really hard. Uh, I think probably the hardest person to talk to about it, my mom. My, um, my old man, um-- Yeah, it was hard.","[-1, 3, -1, 3, -1]",seeker supporter seeker supporter seeker,"We-we talked about, uh, last time that this is hard stuff and that, um, we are prepared to kind of do the hard yard. So you've gone away, you've talked to your folks, put it out there about your issue of violence? Um, I'm thinking about, uh, with-with Tristan and the whole alcohol issue there. So it sounds like to me if you've- you've started to put quite a bit of stuff in place.",0
"Well, I'm not sure if I want to live with my auntie and uncle. [chuckles] Um, I think, yeah, I'll probably need to. I think probably living with, uh, with my mate in his flat is probably not that helpful. </s> Okay. Just sort of interested, when you rang your mom and, um, told her what's happening, how difficult was it to talk about the issue of violence and being violent towards your partner? </s> It was terrible. It was really hard. Uh, I think probably the hardest person to talk to about it, my mom. My, um, my old man, um-- Yeah, it was hard. </s> We-we talked about, uh, last time that this is hard stuff and that, um, we are prepared to kind of do the hard yard. So you've gone away, you've talked to your folks, put it out there about your issue of violence? Um, I'm thinking about, uh, with-with Tristan and the whole alcohol issue there. So it sounds like to me if you've- you've started to put quite a bit of stuff in place. </s> I try.","[-1, 3, -1, 0, -1]",seeker supporter seeker supporter seeker,"Yeah. What does it tell me about you as a man, as a father, as someone who wants to get moving?",3
"It was terrible. It was really hard. Uh, I think probably the hardest person to talk to about it, my mom. My, um, my old man, um-- Yeah, it was hard. </s> We-we talked about, uh, last time that this is hard stuff and that, um, we are prepared to kind of do the hard yard. So you've gone away, you've talked to your folks, put it out there about your issue of violence? Um, I'm thinking about, uh, with-with Tristan and the whole alcohol issue there. So it sounds like to me if you've- you've started to put quite a bit of stuff in place. </s> I try. </s> Yeah. What does it tell me about you as a man, as a father, as someone who wants to get moving? </s> Well, I hope it tells you that, um, that I'm a good bloke. That I'm a good dad. That I really- that I'm really serious. I am really serious.","[-1, 0, -1, 3, -1]",seeker supporter seeker supporter seeker,"Grand. You talked a little bit about, uh, you'd really like to get back with Kristie?",2
"I try. </s> Yeah. What does it tell me about you as a man, as a father, as someone who wants to get moving? </s> Well, I hope it tells you that, um, that I'm a good bloke. That I'm a good dad. That I really- that I'm really serious. I am really serious. </s> Grand. You talked a little bit about, uh, you'd really like to get back with Kristie? </s> Yeah.","[-1, 3, -1, 2, -1]",seeker supporter seeker supporter seeker,And-and-and your kids and developing that whānau. Have you had an opportunity to get in touch with her and—,2
"Well, I hope it tells you that, um, that I'm a good bloke. That I'm a good dad. That I really- that I'm really serious. I am really serious. </s> Grand. You talked a little bit about, uh, you'd really like to get back with Kristie? </s> Yeah. </s> And-and-and your kids and developing that whānau. Have you had an opportunity to get in touch with her and— </s> Uh, yeah, I talked to her about it. We talked a little bit. Um, and she's not completely convinced.","[-1, 2, -1, 2, -1]",seeker supporter seeker supporter seeker,Right.,5
"Yeah. </s> And-and-and your kids and developing that whānau. Have you had an opportunity to get in touch with her and— </s> Uh, yeah, I talked to her about it. We talked a little bit. Um, and she's not completely convinced. </s> Right. </s> Um, but we'll see how it goes.","[-1, 2, -1, 5, -1]",seeker supporter seeker supporter seeker,"Okay. So what do you think you're gonna need to do to show her and others, uh, to convince them that you are serious?",3
"Uh, yeah, I talked to her about it. We talked a little bit. Um, and she's not completely convinced. </s> Right. </s> Um, but we'll see how it goes. </s> Okay. So what do you think you're gonna need to do to show her and others, uh, to convince them that you are serious? </s> I need to, um, I need to see all these things that I've started to put into action, I need to see them through to the end.","[-1, 5, -1, 3, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"Um, but we'll see how it goes. </s> Okay. So what do you think you're gonna need to do to show her and others, uh, to convince them that you are serious? </s> I need to, um, I need to see all these things that I've started to put into action, I need to see them through to the end. </s> Mm-hmm. </s> Well. I need to- I need to, uh, to show her that she can trust me. That I'm serious about it.","[-1, 3, -1, 5, -1]",seeker supporter seeker supporter seeker,Yeah.,5
<START>,[-1],None,"So, Rick, just in regards to your flatmate situation at the moment with Tristan. Uh, you know, we talked about how walking through this program and with the support of your parents and having some positive influence to help you through this. I just want to rethink a bit if you stay living with Tristan. What are the sort of pros and cons of that? What are the good things about living there, what are the not-so-good things about living there?",2
"<START> </s> So, Rick, just in regards to your flatmate situation at the moment with Tristan. Uh, you know, we talked about how walking through this program and with the support of your parents and having some positive influence to help you through this. I just want to rethink a bit if you stay living with Tristan. What are the sort of pros and cons of that? What are the good things about living there, what are the not-so-good things about living there? </s> Oh, it's a nice place. It's close to work. It's good living with a mate.","[-1, 2, -1]",None supporter seeker,"Yeah. So, in terms of being supportive and a sort of support you're gonna need to make these changes.",6
"<START> </s> So, Rick, just in regards to your flatmate situation at the moment with Tristan. Uh, you know, we talked about how walking through this program and with the support of your parents and having some positive influence to help you through this. I just want to rethink a bit if you stay living with Tristan. What are the sort of pros and cons of that? What are the good things about living there, what are the not-so-good things about living there? </s> Oh, it's a nice place. It's close to work. It's good living with a mate. </s> Yeah. So, in terms of being supportive and a sort of support you're gonna need to make these changes. </s> Yeah.","[-1, 2, -1, 6, -1]",None supporter seeker supporter seeker,What's your thinking around that?,3
"Oh, it's a nice place. It's close to work. It's good living with a mate. </s> Yeah. So, in terms of being supportive and a sort of support you're gonna need to make these changes. </s> Yeah. </s> What's your thinking around that? </s> That's the thing, isn't it? I am-- I don't know if it's the best place for me to be if I'm gonna make those changes.","[-1, 6, -1, 3, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"Yeah. </s> What's your thinking around that? </s> That's the thing, isn't it? I am-- I don't know if it's the best place for me to be if I'm gonna make those changes. </s> Mm-hmm. </s> And Tristan is a good flatmate.","[-1, 3, -1, 5, -1]",seeker supporter seeker supporter seeker,Yeah.,5
"That's the thing, isn't it? I am-- I don't know if it's the best place for me to be if I'm gonna make those changes. </s> Mm-hmm. </s> And Tristan is a good flatmate. </s> Yeah. </s> I have no-- We're going in different-different directions now. He doesn't have the same kind of responsibilities I have and stuff, and so-- And I can't expect him to change his whole life around, just because I wanna change mine.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Right.,5
"And Tristan is a good flatmate. </s> Yeah. </s> I have no-- We're going in different-different directions now. He doesn't have the same kind of responsibilities I have and stuff, and so-- And I can't expect him to change his whole life around, just because I wanna change mine. </s> Right. </s> I just-- I don't know how keen I am to move in with my- with my aunty and uncle, though.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,"Okay. You're good to explore, but I just want to ask you about, how much does Chris-Christian-Christian know-- Tristan know about you changing your life? What does he really know about the changes you wanna make?",3
